Sim_step,lamda_xx,lamda_yy,lamda_zz,lamda_yz,lamda_xz,lamda_xy
0,0,0,0,0,0,0
0.03,0.0,-0.0,0.0,0.0,-0.0,-0.0
0.04,0.0004,0.0002,-0.0,-0.0,0.0003,-1e-04
0.05,0.0003,1e-04,-0.0,-0.0,0.0002,-1e-04
0.06,0.0004,0.0002,-0.0,-1e-04,0.0003,-1e-04
0.07,0.0004,0.0002,-0.0,-1e-04,0.0003,-1e-04
0.08,0.0004,0.0002,-0.0,-1e-04,0.0003,-1e-04
0.09,0.0004,0.0002,-0.0,-1e-04,0.0003,-1e-04
0.1,0.0004,0.0002,-0.0,-1e-04,0.0003,-1e-04
0.11,0.0004,0.0002,-0.0,-1e-04,0.0003,-1e-04
0.12,0.0004,0.0002,-0.0,-1e-04,0.0003,-1e-04
0.13,0.0004,0.0002,-0.0,-1e-04,0.0003,-1e-04
0.14,0.0004,0.0002,-0.0,-1e-04,0.0003,-1e-04
0.15,0.0004,0.0002,-0.0,-1e-04,0.0003,-1e-04
0.16,0.0004,0.0002,-0.0,-1e-04,0.0003,-1e-04
0.17,0.0004,0.0002,-0.0,-1e-04,0.0003,-1e-04
0.18,0.0004,0.0002,-0.0,-1e-04,0.0003,-1e-04
0.19,0.0004,0.0002,-0.0,-1e-04,0.0003,-1e-04
0.2,0.0004,0.0002,-0.0,-1e-04,0.0003,-1e-04
0.21,0.0004,0.0002,-0.0,-1e-04,0.0003,-1e-04
0.22,0.0004,0.0002,-0.0,-1e-04,0.0003,-1e-04
0.23,0.0004,0.0002,-0.0,-1e-04,0.0003,-1e-04
0.24,0.0004,0.0002,-0.0,-1e-04,0.0003,-1e-04
0.25,0.0004,0.0002,-0.0,-1e-04,0.0003,-1e-04
0.26,0.0004,0.0002,-0.0,-1e-04,0.0003,-1e-04
0.27,0.0004,0.0002,-0.0,-1e-04,0.0003,-1e-04
0.28,0.0004,0.0002,-0.0,-1e-04,0.0003,-1e-04
0.29,0.0004,0.0002,-0.0,-1e-04,0.0003,-1e-04
0.3,0.0004,0.0002,-0.0,-1e-04,0.0003,-1e-04
0.31,0.0004,0.0002,-0.0,-1e-04,0.0003,-1e-04
0.32,0.0005,0.0002,-0.0,-1e-04,0.0003,-1e-04
0.33,0.0008,0.0004,-0.0,-1e-04,0.0006,-0.0003
0.34,0.0011,0.0005,-0.0,-1e-04,0.0009,-0.0004
0.35,0.0015,0.0007,-0.0,-0.0002,0.0012,-0.0006
0.36,0.0019,0.0008,-0.0,-0.0002,0.0016,-0.0007
0.37,0.0022,0.001,-0.0,-0.0002,0.0019,-0.0009
0.38,0.0026,0.0012,-0.0,-0.0003,0.0022,-0.0011
0.39,0.003,0.0014,-0.0,-0.0003,0.0025,-0.0012
0.4,0.0033,0.0015,-0.0,-0.0003,0.0029,-0.0014
0.41,0.0037,0.0017,-0.0,-0.0004,0.0032,-0.0015
0.42,0.004,0.0019,-0.0,-0.0004,0.0035,-0.0017
0.43,0.0044,0.002,-0.0,-0.0004,0.0038,-0.0018
0.44,0.0047,0.0022,-0.0,-0.0005,0.0041,-0.002
0.45,0.005,0.0023,-0.0,-0.0005,0.0044,-0.0021
0.46,0.0054,0.0025,-0.0,-0.0006,0.0047,-0.0022
0.47,0.0057,0.0026,-0.0,-0.0006,0.005,-0.0024
0.48,0.006,0.0028,-0.0,-0.0006,0.0053,-0.0025
0.49,0.0063,0.003,-0.0,-0.0006,0.0056,-0.0027
0.5,0.0066,0.0031,-0.0,-0.0007,0.0059,-0.0028
0.51,0.0069,0.0033,-0.0,-0.0007,0.0062,-0.0029
