time,xx,yy,zz,yz,xz,xy
0.46000000000000024,0.00064057735,-8.627184e-05,5.7092126e-07,5.1713843e-05,0.00091664493,-0.00024202728
0.47000000000000025,0.0006593804,-8.828883e-05,5.858364e-07,5.3082797e-05,0.0009422219,-0.00024925164
0.48000000000000026,0.00067819585,-9.029802e-05,6.0072e-07,5.4449287e-05,0.0009678162,-0.00025647995
0.49000000000000027,0.00069703045,-9.229268e-05,6.1556534e-07,5.581303e-05,0.0009934315,-0.00026371764
0.5000000000000002,0.0007158823,-9.4273535e-05,6.3037197e-07,5.717395e-05,0.0010190664,-0.00027096353
0.5100000000000002,0.0007347442,-9.624769e-05,6.451473e-07,5.8532358e-05,0.0010447161,-0.00027821198
0.5200000000000002,0.0007536227,-9.820872e-05,6.598849e-07,5.9887996e-05,0.0010703838,-0.0002854683
0.5300000000000002,0.00077251706,-0.00010015624,6.745834e-07,6.124075e-05,0.001096069,-0.00029273218
0.5400000000000003,0.00079142407,-0.00010209314,6.892454e-07,6.259071e-05,0.0011217692,-0.00030000115
0.5500000000000003,0.00081034494,-0.000104017345,7.0386835e-07,6.393775e-05,0.0011474843,-0.00030727664
0.5600000000000003,0.00082928257,-0.00010592702,7.184508e-07,6.528183e-05,0.0011732166,-0.00031456043
0.5700000000000003,0.000848231,-0.00010782542,7.329943e-07,6.662291e-05,0.0011989612,-0.0003218488
0.5800000000000003,0.00086719485,-0.00010970951,7.4749676e-07,6.7960966e-05,0.0012247211,-0.0003291449
0.5900000000000003,0.0008861675,-0.00011158415,7.61962e-07,6.929609e-05,0.0012504914,-0.00033644412
0.6000000000000003,0.0009051528,-0.000113446215,7.7638737e-07,7.06282e-05,0.001276274,-0.00034374933
0.6100000000000003,0.0009241486,-0.000115296825,7.9077313e-07,7.195726e-05,0.0013020672,-0.00035105908
0.6200000000000003,0.00094315724,-0.000117134325,8.05118e-07,7.328325e-05,0.0013278727,-0.00035837505
0.6300000000000003,0.00096217636,-0.00011895772,8.194188e-07,7.4605894e-05,0.001353687,-0.00036569664
0.6400000000000003,0.0009812075,-0.00012076891,8.336794e-07,7.5925476e-05,0.001379513,-0.0003730237
0.6500000000000004,0.0010002487,-0.00012256607,8.478957e-07,7.7241704e-05,0.0014053469,-0.00038035618
0.6600000000000004,0.0010193001,-0.00012435096,8.6207046e-07,7.855473e-05,0.0014311898,-0.00038769344
0.6700000000000004,0.0010383612,-0.00012612264,8.7620197e-07,7.9864454e-05,0.0014570404,-0.00039503563
0.6800000000000004,0.0010574321,-0.00012788044,8.90289e-07,8.1170794e-05,0.0014828981,-0.0004023831
0.6900000000000004,0.0010765122,-0.00012962536,9.0433264e-07,8.2473794e-05,0.0015087627,-0.0004097351
0.7000000000000004,0.001095601,-0.00013135656,9.183314e-07,8.377336e-05,0.001534633,-0.0004170919
0.7100000000000004,0.0011146982,-0.00013307476,9.3228607e-07,8.506952e-05,0.0015605087,-0.00042445306
0.7200000000000004,0.0011338034,-0.00013477913,9.4619503e-07,8.6362175e-05,0.0015863887,-0.00043181865
0.7300000000000004,0.0011529074,-0.00013646903,9.600518e-07,8.765071e-05,0.001612261,-0.00043918518
0.7400000000000004,0.001171819,-0.00013817304,9.7389e-07,8.893601e-05,0.0016378781,-0.00044647272
0.7500000000000004,0.0011904936,-0.00013989511,9.877074e-07,9.0217494e-05,0.0016631826,-0.00045366297
0.7600000000000005,0.0012089339,-0.00014163568,1.0015059e-06,9.149532e-05,0.001688179,-0.00046075677
0.7700000000000005,0.0012271401,-0.00014339518,1.0152866e-06,9.276958e-05,0.0017128681,-0.0004677539
0.7800000000000005,0.0012451215,-0.00014517296,1.0290503e-06,9.404042e-05,0.0017372629,-0.00047465815
0.7900000000000005,0.0012628668,-0.00014697049,1.0427979e-06,9.53078e-05,0.0017613495,-0.00048146467
0.8000000000000005,0.0012803792,-0.00014878795,1.0565308e-06,9.657186e-05,0.0017851328,-0.00048817464
0.8100000000000005,0.0012976673,-0.00015062478,1.0702498e-06,9.783273e-05,0.0018086245,-0.0004947913
0.8200000000000005,0.0013147272,-0.0001524816,1.0839555e-06,9.909043e-05,0.0018318207,-0.0005013132
0.8300000000000005,0.0013315516,-0.00015435969,1.0976494e-06,0.000100345,0.0018547125,-0.00050773687
0.8400000000000005,0.0013481366,-0.00015626,1.1113332e-06,0.00010159654,0.0018772958,-0.0005140607
0.8500000000000005,0.0013644866,-0.00015818255,1.1250083e-06,0.00010284519,0.0018995772,-0.00052028627
0.8600000000000005,0.0013806032,-0.00016012753,1.1386754e-06,0.00010409102,0.0019215593,-0.00052641396
0.8700000000000006,0.0013964839,-0.00016209553,1.1523356e-06,0.0001053341,0.0019432402,-0.00053244276
0.8800000000000006,0.0014121289,-0.000164087,1.1659902e-06,0.00010657452,0.0019646208,-0.00053837255
0.8900000000000006,0.0014275402,-0.00016610211,1.1796401e-06,0.00010781237,0.0019857043,-0.0005442039
0.9000000000000006,0.0014427176,-0.00016814124,1.1932864e-06,0.00010904773,0.0020064916,-0.0005499366
0.9100000000000006,0.001457661,-0.00017020482,1.20693e-06,0.00011028068,0.0020269835,-0.00055557047
0.9200000000000006,0.001472373,-0.00017229293,1.2205722e-06,0.00011151131,0.002047184,-0.0005611064
0.9300000000000006,0.0014868429,-0.00017440719,1.2342143e-06,0.00011273966,0.0020670802,-0.0005665398
0.01,-0.086005434,-0.2048099,-0.006009943,-0.44605622,-0.39557806,-0.49343228
0.02,-3.0203464e-05,-5.730961e-06,2.2262572e-09,-1.0263239e-07,9.655288e-09,1.793854e-05
0.03,-3.7346217e-05,-4.9853015e-06,1.4968918e-09,-1.5456996e-07,-5.6950266e-06,1.8213277e-05
0.04,-3.7354745e-05,-4.831645e-06,1.2145159e-09,-1.7281117e-07,-5.9017966e-06,1.814502e-05
0.05,-3.7311216e-05,-4.844271e-06,1.2692906e-09,-1.6832045e-07,-5.8341193e-06,1.8138773e-05
0.060000000000000005,-3.7306614e-05,-4.8468764e-06,1.2767382e-09,-1.677459e-07,-5.826953e-06,1.813841e-05
0.07,-3.7307513e-05,-4.8468883e-06,1.2761985e-09,-1.6779902e-07,-5.827996e-06,1.8138702e-05
0.08,-3.7307665e-05,-4.8468314e-06,1.2759971e-09,-1.6781534e-07,-5.828223e-06,1.8138735e-05
0.09,-3.7307655e-05,-4.8468287e-06,1.2760015e-09,-1.6781476e-07,-5.8282094e-06,1.813873e-05
0.09999999999999999,-2.2429278e-05,-6.795153e-06,1.4459034e-08,1.0262572e-06,1.4430831e-05,1.23954105e-05
0.01,-0.086005434,-0.2048099,-0.006009943,-0.44605622,-0.39557806,-0.49343228
0.02,-3.0203464e-05,-5.730961e-06,2.2262572e-09,-1.0263239e-07,9.655288e-09,1.793854e-05
0.03,-3.7346217e-05,-4.9853015e-06,1.4968918e-09,-1.5456996e-07,-5.6950266e-06,1.8213277e-05
0.04,-3.7354745e-05,-4.831645e-06,1.2145159e-09,-1.7281117e-07,-5.9017966e-06,1.814502e-05
0.05,-3.7311216e-05,-4.844271e-06,1.2692906e-09,-1.6832045e-07,-5.8341193e-06,1.8138773e-05
0.060000000000000005,-3.7306614e-05,-4.8468764e-06,1.2767382e-09,-1.677459e-07,-5.826953e-06,1.813841e-05
0.07,-3.7307513e-05,-4.8468883e-06,1.2761985e-09,-1.6779902e-07,-5.827996e-06,1.8138702e-05
0.08,-3.7307665e-05,-4.8468314e-06,1.2759971e-09,-1.6781534e-07,-5.828223e-06,1.8138735e-05
0.09,-3.7307655e-05,-4.8468287e-06,1.2760015e-09,-1.6781476e-07,-5.8282094e-06,1.813873e-05
0.01,-0.086005434,-0.2048099,-0.006009943,-0.44605622,-0.39557806,-0.49343228
0.02,-3.0203464e-05,-5.730961e-06,2.2262572e-09,-1.0263239e-07,9.655288e-09,1.793854e-05
0.03,-3.7346217e-05,-4.9853015e-06,1.4968918e-09,-1.5456996e-07,-5.6950266e-06,1.8213277e-05
0.04,-3.7354745e-05,-4.831645e-06,1.2145159e-09,-1.7281117e-07,-5.9017966e-06,1.814502e-05
0.05,-3.7311216e-05,-4.844271e-06,1.2692906e-09,-1.6832045e-07,-5.8341193e-06,1.8138773e-05
0.060000000000000005,-3.7306614e-05,-4.8468764e-06,1.2767382e-09,-1.677459e-07,-5.826953e-06,1.813841e-05
0.07,-3.7307513e-05,-4.8468883e-06,1.2761985e-09,-1.6779902e-07,-5.827996e-06,1.8138702e-05
0.08,-3.7307665e-05,-4.8468314e-06,1.2759971e-09,-1.6781534e-07,-5.828223e-06,1.8138735e-05
0.09,-3.7307655e-05,-4.8468287e-06,1.2760015e-09,-1.6781476e-07,-5.8282094e-06,1.813873e-05
0.01,-0.086005434,-0.2048099,-0.006009943,-0.44605622,-0.39557806,-0.49343228
0.02,-3.0203464e-05,-5.730961e-06,2.2262572e-09,-1.0263239e-07,9.655288e-09,1.793854e-05
0.03,-3.7346217e-05,-4.9853015e-06,1.4968918e-09,-1.5456996e-07,-5.6950266e-06,1.8213277e-05
0.04,-3.7354745e-05,-4.831645e-06,1.2145159e-09,-1.7281117e-07,-5.9017966e-06,1.814502e-05
0.05,-3.7311216e-05,-4.844271e-06,1.2692906e-09,-1.6832045e-07,-5.8341193e-06,1.8138773e-05
0.060000000000000005,-3.7306614e-05,-4.8468764e-06,1.2767382e-09,-1.677459e-07,-5.826953e-06,1.813841e-05
0.07,-3.7307513e-05,-4.8468883e-06,1.2761985e-09,-1.6779902e-07,-5.827996e-06,1.8138702e-05
0.08,-3.7307665e-05,-4.8468314e-06,1.2759971e-09,-1.6781534e-07,-5.828223e-06,1.8138735e-05
0.09,-3.7307655e-05,-4.8468287e-06,1.2760015e-09,-1.6781476e-07,-5.8282094e-06,1.813873e-05
0.09999999999999999,-2.2429278e-05,-6.795153e-06,1.4459034e-08,1.0262572e-06,1.4430831e-05,1.23954105e-05
0.10999999999999999,-4.466481e-06,-9.189132e-06,3.0398805e-08,2.4672836e-06,3.8866034e-05,5.53089e-06
0.01,-0.086005434,-0.2048099,-0.006009943,-0.44605622,-0.39557806,-0.49343228
0.02,-3.0203464e-05,-5.730961e-06,2.2262572e-09,-1.0263239e-07,9.655288e-09,1.793854e-05
0.03,-3.7346217e-05,-4.9853015e-06,1.4968918e-09,-1.5456996e-07,-5.6950266e-06,1.8213277e-05
0.04,-3.7354745e-05,-4.831645e-06,1.2145159e-09,-1.7281117e-07,-5.9017966e-06,1.814502e-05
0.05,-3.7311216e-05,-4.844271e-06,1.2692906e-09,-1.6832045e-07,-5.8341193e-06,1.8138773e-05
0.01,-0.086005434,-0.2048099,-0.006009943,-0.44605622,-0.39557806,-0.49343228
0.02,-3.0203464e-05,-5.730961e-06,2.2262572e-09,-1.0263239e-07,9.655288e-09,1.793854e-05
0.03,-3.7346217e-05,-4.9853015e-06,1.4968918e-09,-1.5456996e-07,-5.6950266e-06,1.8213277e-05
0.04,-3.7354745e-05,-4.831645e-06,1.2145159e-09,-1.7281117e-07,-5.9017966e-06,1.814502e-05
0.05,-3.7311216e-05,-4.844271e-06,1.2692906e-09,-1.6832045e-07,-5.8341193e-06,1.8138773e-05
0.060000000000000005,-3.7306614e-05,-4.8468764e-06,1.2767382e-09,-1.677459e-07,-5.826953e-06,1.813841e-05
0.07,-3.7307513e-05,-4.8468883e-06,1.2761985e-09,-1.6779902e-07,-5.827996e-06,1.8138702e-05
0.01,-0.086005434,-0.2048099,-0.006009943,-0.44605622,-0.39557806,-0.49343228
0.02,-3.0203464e-05,-5.730961e-06,2.2262572e-09,-1.0263239e-07,9.655288e-09,1.793854e-05
0.03,-3.7346217e-05,-4.9853015e-06,1.4968918e-09,-1.5456996e-07,-5.6950266e-06,1.8213277e-05
0.04,-3.7354745e-05,-4.831645e-06,1.2145159e-09,-1.7281117e-07,-5.9017966e-06,1.814502e-05
0.05,-3.7311216e-05,-4.844271e-06,1.2692906e-09,-1.6832045e-07,-5.8341193e-06,1.8138773e-05
0.060000000000000005,-3.7306614e-05,-4.8468764e-06,1.2767382e-09,-1.677459e-07,-5.826953e-06,1.813841e-05
0.07,-3.7307513e-05,-4.8468883e-06,1.2761985e-09,-1.6779902e-07,-5.827996e-06,1.8138702e-05
0.08,-3.7307665e-05,-4.8468314e-06,1.2759971e-09,-1.6781534e-07,-5.828223e-06,1.8138735e-05
0.09,-3.7307655e-05,-4.8468287e-06,1.2760015e-09,-1.6781476e-07,-5.8282094e-06,1.813873e-05
0.09999999999999999,-2.2429278e-05,-6.795153e-06,1.4459034e-08,1.0262572e-06,1.4430831e-05,1.23954105e-05
0.10999999999999999,-4.466481e-06,-9.189132e-06,3.0398805e-08,2.4672836e-06,3.8866034e-05,5.53089e-06
0.01,-0.086005434,-0.2048099,-0.006009943,-0.44605622,-0.39557806,-0.49343228
0.02,-3.0203464e-05,-5.730961e-06,2.2262572e-09,-1.0263239e-07,9.655288e-09,1.793854e-05
0.03,-3.7346217e-05,-4.9853015e-06,1.4968918e-09,-1.5456996e-07,-5.6950266e-06,1.8213277e-05
0.04,-3.7354745e-05,-4.831645e-06,1.2145159e-09,-1.7281117e-07,-5.9017966e-06,1.814502e-05
0.05,-3.7311216e-05,-4.844271e-06,1.2692906e-09,-1.6832045e-07,-5.8341193e-06,1.8138773e-05
0.060000000000000005,-3.7306614e-05,-4.8468764e-06,1.2767382e-09,-1.677459e-07,-5.826953e-06,1.813841e-05
0.07,-3.7307513e-05,-4.8468883e-06,1.2761985e-09,-1.6779902e-07,-5.827996e-06,1.8138702e-05
0.08,-3.7307665e-05,-4.8468314e-06,1.2759971e-09,-1.6781534e-07,-5.828223e-06,1.8138735e-05
0.09,-3.7307655e-05,-4.8468287e-06,1.2760015e-09,-1.6781476e-07,-5.8282094e-06,1.813873e-05
0.09999999999999999,-2.2429278e-05,-6.795153e-06,1.4459034e-08,1.0262572e-06,1.4430831e-05,1.23954105e-05
0.10999999999999999,-4.466481e-06,-9.189132e-06,3.0398805e-08,2.4672836e-06,3.8866034e-05,5.53089e-06
0.11999999999999998,1.3541735e-05,-1.1549145e-05,4.625667e-08,3.9029505e-06,6.335347e-05,-1.3725603e-06
0.12999999999999998,3.1575768e-05,-1.389479e-05,6.20791e-08,5.3362637e-06,8.7877685e-05,-8.292827e-06
0.13999999999999999,4.963817e-05,-1.6234528e-05,7.7886156e-08,6.76857e-06,0.00011244378,-1.522307e-05
0.15,6.772831e-05,-1.856679e-05,9.367467e-08,8.1996495e-06,0.00013705014,-2.2163551e-05
0.16,8.584955e-05,-2.0887284e-05,1.09439384e-07,9.629236e-06,0.0001616988,-2.9117242e-05
0.17,0.00010399829,-2.3199356e-05,1.2518363e-07,1.1057463e-05,0.0001863868,-3.6081434e-05
0.18000000000000002,0.00012217404,-2.5503394e-05,1.4090772e-07,1.2484338e-05,0.00021111361,-4.3055792e-05
0.19000000000000003,0.00014037677,-2.7798933e-05,1.5661077e-07,1.3909801e-05,0.00023587885,-5.004047e-05
0.20000000000000004,0.00015860582,-3.0086157e-05,1.7229259e-07,1.5333826e-05,0.00026068167,-5.7035133e-05
0.21000000000000005,0.00017685725,-3.2369302e-05,1.8795784e-07,1.6756621e-05,0.0002855192,-6.403661e-05
0.22000000000000006,0.00019513864,-3.4639117e-05,2.0359555e-07,1.8177649e-05,0.00031039605,-7.1051436e-05
0.23000000000000007,0.00021344499,-3.6900023e-05,2.1920981e-07,1.9597057e-05,0.00033530817,-7.8075864e-05
0.24000000000000007,0.00023177607,-3.91522e-05,2.3480082e-07,2.1014852e-05,0.0003602553,-8.5109765e-05
0.25000000000000006,0.00025013162,-4.1395448e-05,2.50368e-07,2.2430992e-05,0.0003852368,-9.215311e-05
0.26000000000000006,0.00026851127,-4.362965e-05,2.6591087e-07,2.3845429e-05,0.0004102521,-9.920579e-05
0.2700000000000001,0.0002869112,-4.5858833e-05,2.814337e-07,2.5258358e-05,0.00043529837,-0.000106264735
0.2800000000000001,0.00030533862,-4.8074384e-05,2.9692646e-07,2.6669291e-05,0.00046037982,-0.00011333613
0.2900000000000001,0.00032378905,-5.027993e-05,3.1239225e-07,2.8078322e-05,0.00048549296,-0.00012041672
0.3000000000000001,0.00034225805,-5.248065e-05,3.2783697e-07,2.9485735e-05,0.0005106348,-0.00012750279
0.3100000000000001,0.00036074966,-5.4671942e-05,3.4325552e-07,3.0891286e-05,0.0005358075,-0.00013459778
0.3200000000000001,0.0003792637,-5.685291e-05,3.5864605e-07,3.229485e-05,0.0005610105,-0.00014170185
0.3300000000000001,0.0003978032,-5.9019385e-05,3.7400324e-07,3.369616e-05,0.0005862451,-0.00014881782
0.34000000000000014,0.00041635928,-6.1180544e-05,3.893369e-07,3.509563e-05,0.0006115054,-0.00015593859
0.35000000000000014,0.00043493658,-6.333178e-05,4.046423e-07,3.6493067e-05,0.00063679414,-0.00016306785
0.36000000000000015,0.00045353442,-6.547273e-05,4.1991822e-07,3.788838e-05,0.0006621102,-0.00017020543
0.37000000000000016,0.00047215255,-6.7603134e-05,4.35164e-07,3.928151e-05,0.0006874531,-0.00017735129
0.38000000000000017,0.0004907902,-6.9723304e-05,4.5037956e-07,4.067244e-05,0.00071282196,-0.00018450504
0.3900000000000002,0.0005094475,-7.1832685e-05,4.6556397e-07,4.2061103e-05,0.00073821633,-0.00019166688
0.4000000000000002,0.0005281281,-7.392635e-05,4.807112e-07,4.3447206e-05,0.0007636382,-0.00019884025
0.4100000000000002,0.0005468267,-7.600936e-05,4.958261e-07,4.483092e-05,0.00078908366,-0.00020602088
0.4200000000000002,0.0005655436,-7.808146e-05,5.109086e-07,4.6212255e-05,0.0008145526,-0.00021320913
0.4300000000000002,0.0005842789,-8.014208e-05,5.259577e-07,4.7591155e-05,0.0008400447,-0.00022040524
0.4400000000000002,0.0006030267,-8.219735e-05,5.409799e-07,4.8967886e-05,0.000865556,-0.00022760448
0.45000000000000023,0.00062179286,-8.424113e-05,5.5596877e-07,5.034218e-05,0.0008910896,-0.00023481167
0.46000000000000024,0.00064057735,-8.627184e-05,5.7092126e-07,5.1713843e-05,0.00091664493,-0.00024202728
0.47000000000000025,0.0006593804,-8.828883e-05,5.858364e-07,5.3082797e-05,0.0009422219,-0.00024925164
0.48000000000000026,0.00067819585,-9.029802e-05,6.0072e-07,5.4449287e-05,0.0009678162,-0.00025647995
0.49000000000000027,0.00069703045,-9.229268e-05,6.1556534e-07,5.581303e-05,0.0009934315,-0.00026371764
0.5000000000000002,0.0007158823,-9.4273535e-05,6.3037197e-07,5.717395e-05,0.0010190664,-0.00027096353
0.5100000000000002,0.0007347442,-9.624769e-05,6.451473e-07,5.8532358e-05,0.0010447161,-0.00027821198
0.5200000000000002,0.0007536227,-9.820872e-05,6.598849e-07,5.9887996e-05,0.0010703838,-0.0002854683
0.5300000000000002,0.00077251706,-0.00010015624,6.745834e-07,6.124075e-05,0.001096069,-0.00029273218
0.5400000000000003,0.00079142407,-0.00010209314,6.892454e-07,6.259071e-05,0.0011217692,-0.00030000115
0.5500000000000003,0.00081034494,-0.000104017345,7.0386835e-07,6.393775e-05,0.0011474843,-0.00030727664
0.5600000000000003,0.00082928257,-0.00010592702,7.184508e-07,6.528183e-05,0.0011732166,-0.00031456043
0.5700000000000003,0.000848231,-0.00010782542,7.329943e-07,6.662291e-05,0.0011989612,-0.0003218488
0.5800000000000003,0.00086719485,-0.00010970951,7.4749676e-07,6.7960966e-05,0.0012247211,-0.0003291449
0.5900000000000003,0.0008861675,-0.00011158415,7.61962e-07,6.929609e-05,0.0012504914,-0.00033644412
0.6000000000000003,0.0009051528,-0.000113446215,7.7638737e-07,7.06282e-05,0.001276274,-0.00034374933
0.6100000000000003,0.0009241486,-0.000115296825,7.9077313e-07,7.195726e-05,0.0013020672,-0.00035105908
0.6200000000000003,0.00094315724,-0.000117134325,8.05118e-07,7.328325e-05,0.0013278727,-0.00035837505
0.6300000000000003,0.00096217636,-0.00011895772,8.194188e-07,7.4605894e-05,0.001353687,-0.00036569664
0.6400000000000003,0.0009812075,-0.00012076891,8.336794e-07,7.5925476e-05,0.001379513,-0.0003730237
0.6500000000000004,0.0010002487,-0.00012256607,8.478957e-07,7.7241704e-05,0.0014053469,-0.00038035618
0.6600000000000004,0.0010193001,-0.00012435096,8.6207046e-07,7.855473e-05,0.0014311898,-0.00038769344
0.6700000000000004,0.0010383612,-0.00012612264,8.7620197e-07,7.9864454e-05,0.0014570404,-0.00039503563
0.6800000000000004,0.0010574321,-0.00012788044,8.90289e-07,8.1170794e-05,0.0014828981,-0.0004023831
0.6900000000000004,0.0010765122,-0.00012962536,9.0433264e-07,8.2473794e-05,0.0015087627,-0.0004097351
0.7000000000000004,0.001095601,-0.00013135656,9.183314e-07,8.377336e-05,0.001534633,-0.0004170919
0.7100000000000004,0.0011146982,-0.00013307476,9.3228607e-07,8.506952e-05,0.0015605087,-0.00042445306
0.7200000000000004,0.0011338034,-0.00013477913,9.4619503e-07,8.6362175e-05,0.0015863887,-0.00043181865
0.7300000000000004,0.0011529074,-0.00013646903,9.600518e-07,8.765071e-05,0.001612261,-0.00043918518
0.7400000000000004,0.001171819,-0.00013817304,9.7389e-07,8.893601e-05,0.0016378781,-0.00044647272
0.7500000000000004,0.0011904936,-0.00013989511,9.877074e-07,9.0217494e-05,0.0016631826,-0.00045366297
0.7600000000000005,0.0012089339,-0.00014163568,1.0015059e-06,9.149532e-05,0.001688179,-0.00046075677
0.7700000000000005,0.0012271401,-0.00014339518,1.0152866e-06,9.276958e-05,0.0017128681,-0.0004677539
0.7800000000000005,0.0012451215,-0.00014517296,1.0290503e-06,9.404042e-05,0.0017372629,-0.00047465815
0.7900000000000005,0.0012628668,-0.00014697049,1.0427979e-06,9.53078e-05,0.0017613495,-0.00048146467
0.8000000000000005,0.0012803792,-0.00014878795,1.0565308e-06,9.657186e-05,0.0017851328,-0.00048817464
0.8100000000000005,0.0012976673,-0.00015062478,1.0702498e-06,9.783273e-05,0.0018086245,-0.0004947913
0.8200000000000005,0.0013147272,-0.0001524816,1.0839555e-06,9.909043e-05,0.0018318207,-0.0005013132
0.8300000000000005,0.0013315516,-0.00015435969,1.0976494e-06,0.000100345,0.0018547125,-0.00050773687
0.8400000000000005,0.0013481366,-0.00015626,1.1113332e-06,0.00010159654,0.0018772958,-0.0005140607
0.8500000000000005,0.0013644866,-0.00015818255,1.1250083e-06,0.00010284519,0.0018995772,-0.00052028627
0.8600000000000005,0.0013806032,-0.00016012753,1.1386754e-06,0.00010409102,0.0019215593,-0.00052641396
